,CDID,ADDRESS,COUNTRY,ADDRESS1,ADDRESS2,ADDRESS3,CITY,STATEPROVINCE,POSTALCODE,COUNTRY.1,Scenario,Use Case,Raw Data
118,710582149,"Suite 250,5500 Preston Road Dallas TX 75205",US,Suite 250,5500 Preston Road,,Dallas,TX,75205,US,Special character ,Swapping the order of dataset  - City,"Suite 250,5500 Preston Road Dallas TX 75205"
119,710579864,"Suite 125,7420 Blanco Road San Antonio TX 78216",US,Suite 125,7420 Blanco Road,,San Antonio,TX,78216,US,Special character ,Swapping the order of dataset  - City,"Suite 125,7420 Blanco Road San Antonio TX 78216"
120,400162486,"Building 1, Suite 200,2500 Bee Cave Road Rollingwood TX 78746",US,"Building 1, Suite 200",2500 Bee Cave Road,,Rollingwood,TX,78746,US,Special character ,Swapping the order of dataset  - City,"Building 1, Suite 200,2500 Bee Cave Road Rollingwood TX 78746"
121,710498660,"Suite 300,11719 Bee Caves Road Austin TX 78738",US,Suite 300,11719 Bee Caves Road,,Austin,TX,78738,US,Special character ,Swapping the order of dataset  - City,"Suite 300,11719 Bee Caves Road Austin TX 78738"
122,400162447,"Suite 200,2121 Sage Road Houston TX 77056",US,Suite 200,2121 Sage Road,,Houston,TX,77056,US,Special character ,Swapping the order of dataset  - City,"Suite 200,2121 Sage Road Houston TX 77056"
123,400169088,"Suite 1200,515 West Greens Road Houston TX 77067",US,Suite 1200,515 West Greens Road,,Houston,TX,77067,US,Special character ,Swapping the order of dataset  - City,"Suite 1200,515 West Greens Road Houston TX 77067"
124,715939518,"Second Floor,1010 Lavaca Street Austin TX 78701",US,Second Floor,1010 Lavaca Street,,Austin,TX,78701,US,Special character ,Swapping the order of dataset  - City,"Second Floor,1010 Lavaca Street Austin TX 78701"
125,710439223,"Suite 335,1420 Spring Hill Road Mc Lean VA 22102",US,Suite 335,1420 Spring Hill Road,,Mc Lean,VA,22102,US,Special character ,Swapping the order of dataset  - City,"Suite 335,1420 Spring Hill Road Mc Lean VA 22102"
126,716396394,"20th Floor  Suite 1020,1530 Wilson Blvd Arlington VA 22209",US,20th Floor  Suite 1020,1530 Wilson Blvd,,Arlington,VA,22209,US,Special character ,Swapping the order of dataset  - City,"20th Floor  Suite 1020,1530 Wilson Blvd Arlington VA 22209"
127,710262240,"20th Floor,707 East Main Street Richmond VA 23219",US,20th Floor,707 East Main Street,,Richmond,VA,23219,US,Special character ,Swapping the order of dataset  - City,"20th Floor,707 East Main Street Richmond VA 23219"
128,400175154,"11th Floor,4300 Wilson Boulevard Arlington VA 22203",US,11th Floor,4300 Wilson Boulevard,,Arlington,VA,22203,US,Special character ,Swapping the order of dataset  - City,"11th Floor,4300 Wilson Boulevard Arlington VA 22203"
129,715865553,"Suite 100,33 Blair Park Road Williston VT 05495",US,Suite 100,33 Blair Park Road,,Williston,VT,05495,US,Special character ,Swapping the order of dataset  - City,"Suite 100,33 Blair Park Road Williston VT 05495"
130,710576913,"Suite 307-245,1401 Marvin Road NE Lacey WA 98516",US,Suite 307-245,1401 Marvin Road NE,,Lacey,WA,98516,US,Special character ,Swapping the order of dataset  - City,"Suite 307-245,1401 Marvin Road NE Lacey WA 98516"
131,710609926,"12th Floor,411 University Street Seattle WA 98101",US,12th Floor,411 University Street,,Seattle,WA,98101,US,Special character ,Swapping the order of dataset  - City,"12th Floor,411 University Street Seattle WA 98101"
132,400157677,"PO Box 669, 4th Floor,1 Neenah Center Neenah WI 54956",US,"PO Box 669, 4th Floor",1 Neenah Center,,Neenah,WI,54956,US,Special character ,Swapping the order of dataset  - City,"PO Box 669, 4th Floor,1 Neenah Center Neenah WI 54956"
133,710084769,"3rd Floor,615 East Michigan Street Milwaukee WI 53202",US,3rd Floor,615 East Michigan Street,,Milwaukee,WI,53202,US,Special character ,Swapping the order of dataset  - City,"3rd Floor,615 East Michigan Street Milwaukee WI 53202"
134,710434349,"CORPORATION TRUST CENTER,1209 ORANGE STREET Wilmington DE 19801",US,CORPORATION TRUST CENTER,1209 ORANGE STREET,,Wilmington,DE,19801,US,Special character ,Swapping the order of dataset  - City,"CORPORATION TRUST CENTER,1209 ORANGE STREET Wilmington DE 19801"
